id,type,title,owner_name,channel_name,channel_url,created_at_iso,like_count,share_count,lang,hashtags,post_url,poster_url
1h77ivocqfn1pwbhINcS7z6by10o1c,News,【2024】幸福土雞農場-親子闖關活動,幸福土雞農場,幸福土雞農場,https://www.ganjingworld.com/channel/1h5gjn85sd61VPsmBpsptPUnU1r60c,2024-11-19T04:48:45.042000Z,33,3,zh-TW,#土雞;#幸福土雞農場;#美食;#臺北市花博公園;#親子,https://www.ganjingworld.com/zh-TW/news/1h77ivocqfn1pwbhINcS7z6by10o1c,https://image3-us-west.cloudokyo.cloud/image/v1/8e/c6/6b/8ec66b0b-c057-4ceb-9b29-53a4f87f500f/672.webp
1h7s4h2ket76orp5JLXI5yB0h1ac1c,Post,,李宇詩,李宇詩,https://www.ganjingworld.com/channel/1g1ttq1qkqt1IooXtuUfO5yOf1850c,2024-11-27T08:55:54.581000Z,4,0,zh-TW,#幸福土雞農場,https://www.ganjingworld.com/zh-TW/post/1h7s4h2ket76orp5JLXI5yB0h1ac1c,
1h7is1739dd6Sk0YML80S48WZ1s91c,Video,#幸福土雞農場 | 2024.11.23.,透明的回憶,透明的回憶,https://www.ganjingworld.com/channel/1fdmmqfgc6h13tNqlsL3LZ1T81ne0c,2024-11-23T16:29:54.811000Z,11,0,zh-TW,#幸福土雞農場;#溫舠;#生活;#透明的回憶,https://www.ganjingworld.com/zh-TW/video/1h7is1739dd6Sk0YML80S48WZ1s91c,https://image5-us-west.cloudokyo.cloud/image/v1/18/23/ee/1823ee94-8005-457b-91b8-8dbf00ff1070/672.webp
1h7htpr4a693AcwOftFIfBrCM16p1c,Shorts,"圓山公園好玩的活動
#幸福土雞農場",溫煦之音 | 溫煦知音,溫煦之音 | 溫煦知音,https://www.ganjingworld.com/channel/1ghd2ude5415sPM59axQq3F5j1ms0c,2024-11-23T07:28:55.126000Z,11,0,zh-TW,#幸福土雞農場,https://www.ganjingworld.com/zh-TW/shorts/1h7htpr4a693AcwOftFIfBrCM16p1c,https://image3-us-west.cloudokyo.cloud/image/v1/4f/db/19/4fdb19c9-8a02-4d59-928f-d3e3fc41722f/360.webp
1h7io5emjuh3hHyBWVUREsbDh1qm1c,Video,乒乓下蛋 #幸福土雞農場 | 2024.11.23.,透明的回憶,透明的回憶,https://www.ganjingworld.com/channel/1fdmmqfgc6h13tNqlsL3LZ1T81ne0c,2024-11-23T15:20:42.035000Z,5,0,zh-TW,#幸福土雞農場;#生活;#透明的回憶,https://www.ganjingworld.com/zh-TW/video/1h7io5emjuh3hHyBWVUREsbDh1qm1c,https://image1-us-west.cloudokyo.cloud/image/v1/60/f6/42/60f64235-7a2d-490c-9e9a-f0b92148f1e0/672.webp
1h7hsk9fvaaN50XdZFeLXJ8ia1fl1c,Shorts,#幸福土雞農場,祥與芳的日常,祥與芳的日常,https://www.ganjingworld.com/channel/1fspc536a133BcAIOJi6z0jrv15h0c,2024-11-23T07:07:55.119000Z,24,3,zh-TW,#幸福土雞農場,https://www.ganjingworld.com/zh-TW/shorts/1h7hsk9fvaaN50XdZFeLXJ8ia1fl1c,https://image3-us-west.cloudokyo.cloud/image/v1/ce/e6/29/cee629c0-7b61-4cc4-8d4b-4b31d3c27642/672.webp
1h7ikjgrobg6SPsNbLADoFtFW1eq1c,Post,,臻的教學及生活手札,臻的教學及生活手札,https://www.ganjingworld.com/channel/1ft4sklrcdr5QSRrwnPbPQgem1vf0c,2024-11-23T14:16:59.095000Z,23,0,zh-TW,#幸福土雞農場,https://www.ganjingworld.com/zh-TW/post/1h7ikjgrobg6SPsNbLADoFtFW1eq1c,
1h7in2n07432TYbMvGChOjMFi1981c,Video,雞不可失 #幸福土雞農場 | 2024.11.23.,透明的回憶,透明的回憶,https://www.ganjingworld.com/channel/1fdmmqfgc6h13tNqlsL3LZ1T81ne0c,2024-11-23T15:01:16.333000Z,8,1,zh-TW,#幸福土雞農場;#生活;#透明的回憶,https://www.ganjingworld.com/zh-TW/video/1h7in2n07432TYbMvGChOjMFi1981c,https://image1-us-west.cloudokyo.cloud/image/v1/61/dd/67/61dd67bb-483f-441d-a2ee-e583403d2ea7/672.webp
1h7hr7qr2pd6B2kUVMFWtxhFs1kq1c,Shorts,#幸福土雞農場,祥與芳的日常,祥與芳的日常,https://www.ganjingworld.com/channel/1fspc536a133BcAIOJi6z0jrv15h0c,2024-11-23T06:43:03.360000Z,29,1,zh-TW,#幸福土雞農場,https://www.ganjingworld.com/zh-TW/shorts/1h7hr7qr2pd6B2kUVMFWtxhFs1kq1c,https://image3-us-west.cloudokyo.cloud/image/v1/ee/03/b3/ee03b393-e97a-4231-a08a-c0a1c9ec596d/672.webp
1h7ipg4ma4s220W6V2fRVCpIT13m1c,Video,料理美食王 #幸福土雞農場 | 2024.11.23.,透明的回憶,透明的回憶,https://www.ganjingworld.com/channel/1fdmmqfgc6h13tNqlsL3LZ1T81ne0c,2024-11-23T15:44:34.379000Z,8,0,zh-TW,#幸福土雞農場;#生活;#透明的回憶,https://www.ganjingworld.com/zh-TW/video/1h7ipg4ma4s220W6V2fRVCpIT13m1c,https://image1-us-west.cloudokyo.cloud/image/v1/62/1c/93/621c934f-7b65-4819-9638-918cf20a56a6/672.webp
